"Data do Registro","Dia","Prestador de Serviço","Serviços","Janela de atendimento","Capacidade","Ocupada","Disponível","% Uso"
"02/03/2026","Segunda","FRQ SBC SP R01","Reparo MudEnd","Período da Manhã","10","1","9","10%"
"02/03/2026","Segunda","FRQ SBC SP R01","Reparo MudEnd","Período da Tarde","10","0","10","0%"
"02/03/2026","Segunda","FRQ SBC SP R01","MP., MP MudEnd","Período da Manhã","14","14","0","100%"
"02/03/2026","Segunda","FRQ SBC SP R01","MP., MP MudEnd","Período da Tarde","16","16","0","100%"
"02/03/2026","Segunda","FRQ SBC SP R01","MP MudEnd","Período da Manhã","10","0","10","0%"
"02/03/2026","Segunda","FRQ SBC SP R01","MP MudEnd","Período da Tarde","10","0","10","0%"
"02/03/2026","Segunda","FRQ SBC SP R01","Troca","Período da Manhã","1","1","0","100%"
"02/03/2026","Segunda","FRQ SBC SP R01","Troca","Período da Tarde","10","0","10","0%"
"02/03/2026","Segunda","FRQ SBC SP R01","Desistalação MudEnd, Desistalação","Período da Manhã","2","4","0","100%"
"02/03/2026","Segunda","FRQ SBC SP R01","Desistalação MudEnd, Desistalação","Período da Tarde","10","0","10","0%"
"02/03/2026","Segunda","FRQ SBC SP R01","Desistalação MudEnd","Período da Manhã","10","1","9","10%"
"02/03/2026","Segunda","FRQ SBC SP R01","Desistalação MudEnd","Período da Tarde","10","0","10","0%"
"02/03/2026","Segunda","FRQ SBC SP R01","Segurança de Produto","Período da Manhã","10","0","10","0%"
"02/03/2026","Segunda","FRQ SBC SP R01","Segurança de Produto","Período da Tarde","10","0","10","0%"
"02/03/2026","Segunda","FRQ BASE LESTE SP R01","Instalação Mud_End, Instalação","Período da Manhã","1","2","0","100%"
"02/03/2026","Segunda","FRQ BASE LESTE SP R01","Instalação Mud_End, Instalação","Período da Tarde","10","0","10","0%"
"02/03/2026","Segunda","FRQ BASE LESTE SP R01","Instalação Mud_End","Período da Manhã","10","0","10","0%"
"02/03/2026","Segunda","FRQ BASE LESTE SP R01","Instalação Mud_End","Período da Tarde","10","0","10","0%"
"02/03/2026","Segunda","FRQ BASE LESTE SP R01","Reparo MudEnd, Reparo","Período da Manhã","3","5","0","100%"
